 |14|山西省| |省| |SHENG| |101|0|2
142303005|142303005014|南偏城| |村| |CUN| |105|0|12
142303005|142303005015|北偏城| |村| |CUN| |105|0|12
142303005|142303005016|北灵浮| |村| |CUN| |105|0|12
142303005|142303005017|南灵浮| |村| |CUN| |105|0|12
142303005|142303005018|后贺家庄| |村| |CUN| |105|0|12
142303005|142303005019|前贺家庄| |村| |CUN| |105|0|12
142303005|142303005020|乔家山| |村| |CUN| |105|0|12
142303005|142303005021|南墕| |村| |CUN| |105|0|12
142303005|142303005022|磁盆沟| |村| |CUN| |105|0|12
142303005|142303005023|杨家庄| |村| |CUN| |105|0|12
142303005|142303005024|中西庄| |村| |CUN| |105|0|12
142303005|142303005025|墕头| |村| |CUN| |105|0|12
142303005|142303005026|北舍| |村| |CUN| |105|0|12
142303005|142303005028|高家庄| |村| |CUN| |105|0|12
142303005|142303005029|韩家垣| |村| |CUN| |105|0|12
142303005|142303005030|靳家庄| |村| |CUN| |105|0|12
142303005|142303005031|中庄| |村| |CUN| |105|0|12
142303005|142303005032|垣头| |村| |CUN| |105|0|12
